279,742,96
114,744,74
492,680,84
65,498,46
141,729,23
193,729,18
943,63,98
437,498,28
942,742,76
616,1,7
498,1,40
863,757,91
543,757,53
49,757,100
230,456,48
718,680,77
761,757,80
368,744,40
894,742,4
347,63,68
896,756,26
878,757,46
739,757,75
204,680,26
245,498,20
969,63,16
384,729,93
829,729,25
49,756,42
164,680,82
365,742,49
795,498,34
33,680,54
655,456,49
450,729,31
359,757,46
400,63,100
279,63,52
962,756,3
860,498,83
977,757,23
636,680,74
700,498,32
841,498,31
176,498,46
180,498,89
120,742,90
277,729,24
531,1,82
18,456,14
54,729,53
286,680,39
829,742,75
654,744,69
759,680,51
511,1,38
877,63,12
418,729,74
297,456,16
124,456,85
361,756,56
898,729,54
476,756,76
232,1,52
957,680,25
697,456,87
679,757,1
648,742,98
922,756,16
642,757,58
256,680,44
895,680,97
263,456,81
909,63,41
430,757,21
752,744,77
777,498,64
934,680,97
550,756,43
170,757,55
523,498,72
620,729,78
17,680,11
791,729,29
252,742,91
903,456,57
105,744,31
403,742,6
364,1,15
894,756,17
926,63,45
901,456,75
741,680,31
818,63,32
844,63,5
310,1,21
434,742,37
342,498,31
497,456,47
284,498,57
